index	PHEO	TN	TP	CHLA	DOP	DON	NH4F	NO2F	NO3F	PC	PO4F	DO	PH	SALINITY	WTEMP	TotalDepth	null_count	SampleDate	LinearTime	DayLength	FallPeak	SpringPeak	PctTotalDepth	cruise_id	DATE_TIME	Latitude	Longitude	Discharge_Rappahannock	Discharge_Potomac	Discharge_Susquehanna	measurement_CHLA	interpolated_CHLA	measurement_PAR	WIND_RATIO_BWI	WIND_RATIO_ANDREWS	SKY_COVER_BWI	VISIBILITY_BWI	SKY_COVER_ANDREWS	VISIBILITY_ANDREWS	PRECIP24HR_BWI
0	1.368	0.3084	0.0102	5.1264	0.0017499999999999998	0.21	0.0037	0.0008	0.0001	0.64055	0.0008	10.45	8.0	21.68	8.847	10.0	0.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.1	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
1												10.45	8.05	21.67	8.852	10.0	11.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.2	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
2												10.41	8.05	21.96	8.86	10.0	11.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.3	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
3												10.28	8.03	22.46	8.871	10.0	11.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.4	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
4	1.368	0.3137	0.0126	7.0488	0.0017499999999999998	0.21	0.0037	0.0008	0.0	0.69558	0.0008	10.12	8.02	22.84	8.905	10.0	0.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.5	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
5												9.79	7.99	23.6	8.945	10.0	11.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.6	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
6	1.368	0.2914	0.0108	5.4468	0.0014	0.2	0.0044	0.0013	0.0045	0.5555899999999999	0.0017	9.7	7.98	24.16	8.992	10.0	0.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.7	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
7												9.63	7.97	24.38	9.03	10.0	11.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.8	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
8	1.368	0.2623	0.008400000000000001	3.5244	-0.00039999999999999996	0.19	0.0046	0.0017	0.0075	0.35031	0.0027	9.6	7.97	24.45	9.042	10.0	0.0	2016-01-11	0.05481925418569254	-0.9412648530525456	-0.33766918190437484	0.33766918190437484	0.9	0	2016-01-11	37.23653	-76.20799	6723.958333333333	23992.708333333332	60006.25		4.285370681418459	21.40467643737793	1.0119176598049837	1.4730290456431534	Scattered	10.0	Clear	10.0	0.81
9	1.368	0.31625000000000003	0.01015	3.3642000000000003	0.0019333333333333331	0.2123	0.01235	0.00145	0.02175	0.39619499999999996	0.0008	9.16	7.93	22.16	8.781	17.0	0.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.9411764705882353	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
10												9.72	7.99	19.8	8.46	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.8823529411764706	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
11												9.61	7.98	21.74	8.535	17.0	11.0	2016-01-13	0.06029870624048707	-0.9290839427604021	-0.36986893260286946	0.36986893260286946	0.8235294117647058	0	2016-01-13	37.6918	-76.18966999999999	2904.6875	20289.583333333332	85050.0		5.244906907771491	21.39815330505371	0.9458288190682557	1.4107883817427385	Scattered	9.770000000000001	Clear	9.846153846153847	0.0
