SampleID	Station	OLD_DATE_TIME	OldDepth	qPCR ct	CollectionAgency	sequencing_ID	TrimCount	TotalDepth	PctTotalDepth	WaterColumnPosition	cruise_id	SampleDate	Depth	PHEO	TN	TP	CHLA	DOP	DON	NH4F	NO2F	NO3F	PC	PO4F	DO	PH	SALINITY	WTEMP	LinearTime	DayLength	FallPeak	SpringPeak	Discharge_Rappahannock-instant	Discharge_Rappahannock-15	Discharge_Rappahannock-30	Discharge_Rappahannock-60	Discharge_Potomac-instant	Discharge_Potomac-15	Discharge_Potomac-30	Discharge_Potomac-60	Discharge_Susquehanna-instant	Discharge_Susquehanna-15	Discharge_Susquehanna-30	Discharge_Susquehanna-60	interpolated_CHLA-instant	interpolated_CHLA-15	interpolated_CHLA-30	interpolated_CHLA-60	measurement_PAR-instant	measurement_PAR-15	measurement_PAR-30	measurement_PAR-60	WIND_RATIO_BWI-instant	WIND_RATIO_BWI-15	WIND_RATIO_BWI-30	WIND_RATIO_BWI-60	PRECIP24HR_BWI-instant	PRECIP24HR_BWI-15	PRECIP24HR_BWI-30	PRECIP24HR_BWI-60
SB071116TAWCSCB22D11BR2TR2I616	CB2.2	2016-07-11	11	TBD	DNR	e_13	158534.0	12.0	0.8333333333333334	lower	7	2016-07-13 00:00:00	10.0	3.695	0.663	0.0363	6.622	0.006	0.332	0.028	0.004	0.146	0.866	0.0036	5.366666666666667	7.2	6.286666666666666	26.8	0.5599790715372908	0.9298248852744782	0.3680022863030928	-0.3680022863030928	378.1666666666667	14058.892809139781	34412.68447580645	99473.81989247311	3604.8958333333335	85723.54166666666	213189.6875	676765.0	5468.125	98217.29166666666	244497.9166666667	933198.9361702128	16.25678148359734	245.79835370960296	465.4087929836733	868.5452254588541		616.3644733428955	1213.1337432861328	2325.8876762390137	14.442857142857141	108.82680746762404	143.41003927863062	295.4444091403676	0.02	8.41	15.17	21.599999999999998
SB071116TAWCSCB74D13BR2TR1I173	CB7.4	2016-07-11	13	18.65202229	ODU	KM	65459.0	15.0	0.8666666666666667	lower	7	2016-07-11 00:00:00	13.0	1.368	0.1601	0.0156	1.368	-0.0016	0.10395	0.0071	0.0008	-0.00035	0.24004	0.0115	6.43	7.876666666666666	31.426666666666666	19.610333333333333	0.554410197869102	0.9421296126341098	0.3352488523439001	-0.3352488523439001	468.7291666666667	15698.851142473115	35422.59072580645	103282.0178091398	4284.375	102977.91666666667	219981.97916666666	703470.4166666667	5939.166666666667	102305.62500000001	265783.5416666667	985530.3945035461	16.44778823852539	243.7529812080823	462.42208633375736	866.1087089777965	61.882080078125	581.3407096862793	1212.2533264160156	2340.7680530548096	11.428571428571429	85.73740944426376	117.23179193613645	269.06351141144506	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB64D10BR1TR1I165	CB6.4	2016-07-11	10	18.04426928	ODU	KM	16281.0	9.0	0.8333333333333333	lower	7	2016-07-13 00:00:00	7.5	1.368	0.29395	0.023899999999999998	3.8715	-0.00035000000000000005	0.16175	0.03655	0.0018999999999999998	0.00295	0.48712	0.01295	3.8449999999999998	7.7	25.01	24.791	0.5598192541856926	0.9301939503467986	0.36706840607469554	-0.36706840607469554	378.1666666666667	14058.892809139781	34412.68447580645	99473.81989247311	3604.8958333333335	85723.54166666666	213189.6875	676765.0	5468.125	98217.29166666666	244497.9166666667	933198.9361702128	16.25678148359734	245.79835370960296	465.4087929836733	868.5452254588541		616.3644733428955	1213.1337432861328	2325.8876762390137	14.442857142857141	108.82680746762404	143.41003927863062	295.4444091403676	0.02	8.41	15.17	21.599999999999998
SB071116TAWCSCB72D20BR1TR1I169	CB7.2	2016-07-11	20	18.38367973	ODU	KM	7513.0	21.0	0.8571428571428571	lower	7	2016-07-11 00:00:00	18.0	1.7622	0.3089	0.0377	1.602	0.0022	0.1462	0.0684	0.0017	0.0015	0.54374	0.0188	5.018	7.81	26.103999999999996	24.9862	0.5548801369863013	0.9411356129196775	0.33802922668654395	-0.33802922668654395	468.7291666666667	15698.851142473115	35422.59072580645	103282.0178091398	4284.375	102977.91666666667	219981.97916666666	703470.4166666667	5939.166666666667	102305.62500000001	265783.5416666667	985530.3945035461	16.44778823852539	243.7529812080823	462.42208633375736	866.1087089777965	61.882080078125	581.3407096862793	1212.2533264160156	2340.7680530548096	11.428571428571429	85.73740944426376	117.23179193613645	269.06351141144506	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB63D10BR2TR1I164	CB6.3	2016-07-11	10	17.4177177	ODU	KM	8879.0	12.0	0.8333333333333334	lower	7	2016-07-11 00:00:00	10.0	1.368	0.3508	0.0272	2.2695	-0.003	0.1657	0.0898	0.0033	0.0031	0.51452	0.0153	3.97	7.6933333333333325	23.650000000000002	25.389666666666667	0.5549467275494673	0.9409940988314269	0.3384229690260853	-0.3384229690260853	468.7291666666667	15698.851142473115	35422.59072580645	103282.0178091398	4284.375	102977.91666666667	219981.97916666666	703470.4166666667	5939.166666666667	102305.62500000001	265783.5416666667	985530.3945035461	16.44778823852539	243.7529812080823	462.42208633375736	866.1087089777965	61.882080078125	581.3407096862793	1212.2533264160156	2340.7680530548096	11.428571428571429	85.73740944426376	117.23179193613645	269.06351141144506	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB62D9BR2TR1I162	CB6.2	2016-07-11	9	20.05	ODU	spr14	58964.0	10.0	0.8500000000000001	lower	7	2016-07-11 00:00:00	8.5	1.368	0.35255000000000003	0.021449999999999997	3.827	-0.0006000000000000001	0.17685	0.0557	0.0026499999999999996	0.0048000000000000004	0.615275	0.00745	3.185	7.605	22.755	25.194000000000003	0.5550133181126332	0.9408524200134389	0.3388166521215501	-0.3388166521215501	468.7291666666667	15698.851142473115	35422.59072580645	103282.0178091398	4284.375	102977.91666666667	219981.97916666666	703470.4166666667	5939.166666666667	102305.62500000001	265783.5416666667	985530.3945035461	16.44778823852539	243.7529812080823	462.42208633375736	866.1087089777965	61.882080078125	581.3407096862793	1212.2533264160156	2340.7680530548096	11.428571428571429	85.73740944426376	117.23179193613645	269.06351141144506	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB62D9BR1TR1I161	CB6.2	2016-07-11	9	21.5	ODU	spr14	6934.0	10.0	0.8500000000000001	lower	7	2016-07-11 00:00:00	8.5	1.368	0.35255000000000003	0.021449999999999997	3.827	-0.0006000000000000001	0.17685	0.0557	0.0026499999999999996	0.0048000000000000004	0.615275	0.00745	3.185	7.605	22.755	25.194000000000003	0.5550133181126332	0.9408524200134389	0.3388166521215501	-0.3388166521215501	468.7291666666667	15698.851142473115	35422.59072580645	103282.0178091398	4284.375	102977.91666666667	219981.97916666666	703470.4166666667	5939.166666666667	102305.62500000001	265783.5416666667	985530.3945035461	16.44778823852539	243.7529812080823	462.42208633375736	866.1087089777965	61.882080078125	581.3407096862793	1212.2533264160156	2340.7680530548096	11.428571428571429	85.73740944426376	117.23179193613645	269.06351141144506	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB71D20BR2TR1I168	CB7.1	2016-07-11	20	20.26	ODU	spr14	47978.0	17.0	0.8529411764705883	lower	7	2016-07-12 00:00:00	14.5	1.368	0.3538	0.0237	2.5365	-0.0031	0.1705	0.105	0.004	0.008	0.368	0.0175	3.8175	7.7124999999999995	22.847500000000004	25.7225	0.557648401826484	0.9351140314911794	0.3543469318454917	-0.3543469318454917	412.8020833333333	14738.319892473115	34908.76780913978	101308.88239247313	4020.9375	93613.4375	216224.79166666666	689737.1875	5629.583333333333	100535.625	254004.79166666666	958614.1445035462	16.460980280484154	244.97182824889532	463.96939064143754	867.1757608736373	59.31764221191406	640.6583518981934	1213.1337432861328	2380.458450317383	15.2	97.49086856376061	130.91092079276078	282.67110217052095	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB71D20BR1TR1I167	CB7.1	2016-07-11	20	19.00051912;20.53	ODU	spr14	34387.0	17.0	0.8529411764705883	lower	7	2016-07-12 00:00:00	14.5	1.368	0.3538	0.0237	2.5365	-0.0031	0.1705	0.105	0.004	0.008	0.368	0.0175	3.8175	7.7124999999999995	22.847500000000004	25.7225	0.557648401826484	0.9351140314911794	0.3543469318454917	-0.3543469318454917	412.8020833333333	14738.319892473115	34908.76780913978	101308.88239247313	4020.9375	93613.4375	216224.79166666666	689737.1875	5629.583333333333	100535.625	254004.79166666666	958614.1445035462	16.460980280484154	244.97182824889532	463.96939064143754	867.1757608736373	59.31764221191406	640.6583518981934	1213.1337432861328	2380.458450317383	15.2	97.49086856376061	130.91092079276078	282.67110217052095	0.0	8.39	15.149999999999999	21.79
SB071116TAWCSCB54D25BR2TR1I158	CB5.4	2016-07-11	25	18.54732556	ODU	KM	30042.0	32.0	0.859375	lower	7	2016-07-12 00:00:00	27.5	1.368	0.3551	0.0264	1.368	-0.0046	0.1609	0.1146	0.0038	0.0077	0.39055	0.0213	3.2462500000000003	7.6425	22.945000000000004	24.984625	0.5571613394216134	0.936194060018167	0.35148354440386065	-0.35148354440386065	412.8020833333333	14738.319892473115	34908.76780913978	101308.88239247313	4020.9375	93613.4375	216224.79166666666	689737.1875	5629.583333333333	100535.625	254004.79166666666	958614.1445035462	16.460980280484154	244.97182824889532	463.96939064143754	867.1757608736373	59.31764221191406	640.6583518981934	1213.1337432861328	2380.458450317383	15.2	97.49086856376061	130.91092079276078	282.67110217052095	0.0	8.39	15.149999999999999	21.79
