group	SB071116TAWCSCB22D11BR2TR2I616	SB071116TAWCSCB74D13BR2TR1I173	SB071116TAWCSCB64D10BR1TR1I165	SB071116TAWCSCB72D20BR1TR1I169	SB071116TAWCSCB63D10BR2TR1I164	SB071116TAWCSCB62D9BR2TR1I162	SB071116TAWCSCB62D9BR1TR1I161	SB071116TAWCSCB71D20BR2TR1I168	SB071116TAWCSCB71D20BR1TR1I167	SB071116TAWCSCB54D25BR2TR1I158	SB071116TAWCSCB54D25BR1TR1I157	SB071116TAWCSCB53D25BR2TR1I156	SB071116TAWCSCB63D10BR1TR1I163	SB071116TAWCSCB52D29BR1TR1I154	SB071116TAWCSCB53D25BR2TR2I615	SB071116TAWCSCB22D11BR1TR1I144	SB071116TAWCSCB33CD24BR1TR2I611	SB071116TAWCSCB33CD24BR1TR1I148	SB071116TAWCSCB22D11BR2TR1I145	SB071116TAWCSCB44D30BR1TR1I152	SB071116TAWCSCB51D33BR1TR1I153	SB071116TAWCSCB52D29BR1TR2I619	SB071116TAWCSCB43CD26BR1TR1I151	SB071316TAWCSCB22D11BR2TR2I613	SB081216TAWCSCB51D33BR1TR1I186	SB081216TAWCSCB54D25BR2TR1I191	SB081216TAWCSCB53D25BR2TR2I189	SB081216TAWCSCB53D25BR2TR1I189	SB081216TAWCSCB54D25BR1TR1I190	SB081216TAWCSCB61D11BR1TR1I192	SB081216TAWCSCB64D10BR2TR1I199	SB081216TAWCSCB62D9BR2TR1I195	SB081216TAWCSCB63D11BR2TR1I196	SB081216TAWCSCB72D20BR2TR1I203	SB081216TAWCSCB72D20BR1TR1I204	SB081216TAWCSCB73D12BR1TR1I205	SB081216TAWCSCB43CD26BR1TR1I184	SB081216TAWCSCB62D9BR1TR1I194	SB081216TAWCSCB42CD26BR1TR1I183	SB081216TAWCSCB71D20BR2TR1I201	SB081216TAWCSCB42CD26BR2TR1I612	SB081216TAWCSCB32D10BR1TR2I621	SB081216TAWCSCB41CD31BR1TR1I182	SB081216TAWCSCB22D11BR1TR2I617	SB081216TAWCSCB41CD31BR1TR2I618	SB081216TAWCSCB22D11BR2TR1I175	SB081216TAWCSCB33CD24BR1TR1I181	SB081216TAWCSCB31D13BR1TR1I177	SB081216TAWCSCB22D11BR1TR1I176	SB081216TAWCSCB33CD24BR1TR2I623	SB081216TAWCSCB32D10BR1TR1I180	SB082916TAWCSCB43CD26BR1TR2I220	SB082916TAWCSCB62D9BR1TR1I232	SB082916TAWCSCB64D10BR1TR1I236	SB082916TAWCSCB64D10BR2TR1I237	SB082916TAWCSCB74D13BR1TR1I246	SB082916TAWCSCB74D13BR2TR1I614	SB082916TAWCSCB72D20BR1TR1I241	SB082916TAWCSCB31D13BR1TR2I212	SB082916TAWCSCB63D10BR3TR1I234	SB082916TAWCSCB61D11BR1TR1I230	SB082916TAWCSCB61D11BR2TR1I231	SB082916TAWCSCB44D30BR1TR1I222	SB082916TAWCSCB52D29BR1TR1I224	SB082916TAWCSCB53D25BR1TR2I610	SB082916TAWCSCB53D25BR1TR1I225	SB082916TAWCSCB43CD26BR1TR1I219	SB082916TAWCSCB54D25BR2TR1I228	SB082916TAWCSCB71D20BR2TR1I238	SB082916TAWCSCB53D25BR2TR1I226	SB083016TAWCSCB41CD31BR1TR1I216	SB083116TAWCSCB22D11BR2TR2I622	SB083116TAWCSCB22D11BR2TR1I210	SB041117TAWCSCB61D11BR1TR1I302	SB041117TAWCSCB61D11BR1TR1I311	SB041117TAWCSCB62D9BR1TR1I303	SB041117TAWCSCB62D9BR1TR1I312	SB041117TAWCSCB63D10BR1TR1I304	SB041117TAWCSCB72D20BR1TR1I316	SB041117TAWCSCB63D10BR2TR1I313	SB041117TAWCSCB73D12BR1TR1I308	SB041117TAWCSCB71D20BR2TR1I315	SB041117TAWCSCB73D12BR1TR1I317	SB041117TAWCSCB72D20BR1TR1I307	SB041117TAWCSCB71D20BR1TR1I306	SB041117TAWCSCB31D13BR1TR1I289	SB041117TAWCSCB54D25BR1TR1I300	SB041117TAWCSCB53D5BR1TR1I284	SB041117TAWCSCB51D33BR1TR1I296	SB041117TAWCSCB44D31BR1TR1I295	SB041117TAWCSCB43CD27BR1TR1I294	SB041117TAWCSCB42CD26BR1TR1I293	SB041117TAWCSCB33CD24BR1TR1I291	SB041117TAWCSCB33CD5BR1TR1I286	SB041117TAWCSCB32D10BR2TR1I290	SB041117TAWCSCB22D11BR2TR1I288	SB041117TAWCSCB54D25BR2TR1I310	SB050817TAWCSCB71D20BR2TR1I349	SB050817TAWCSCB61D11BR1TR1I336	SB050817TAWCSCB61D11BR1TR1I345	SB050817TAWCSCB62D9BR1TR1I337	SB050817TAWCSCB62D9BR1TR1I346	SB050817TAWCSCB73D12BR1TR1I351	SB050817TAWCSCB72D20BR1TR1I341	SB050817TAWCSCB72D20BR1TR1I350	SB050817TAWCSCB73D12BR1TR1I342	SB050817TAWCSCB71D20BR1TR1I340	SB050817TAWCSCB63D10BR1TR1I338	SB050817TAWCSCB54D25BR1TR1I343	SB050817TAWCSCB63D10BR2TR1I347	SB050817TAWCSCB53D25BR2TR1I333	SB050817TAWCSCB22D11BR1TR1I322	SB050817TAWCSCB31D13BR1TR1I323	SB050817TAWCSCB32D10BR2TR1I324	SB050817TAWCSCB33CD5BR1TR1I320	SB050817TAWCSCB33CD24BR1TR1I325	SB050817TAWCSCB54D25BR1TR1I334	SB050817TAWCSCB43CD27BR1TR1I328	SB050817TAWCSCB44D31BR1TR1I329	SB050817TAWCSCB51D33BR1TR1I330	SB050817TAWCSCB53D5BR1TR1I318	SB050817TAWCSCB42CD26BR1TR1I327	SB060517TAWCSCB71D20BR1TR1I383	SB060517TAWCSCB54D25BR1TR1I368	SB060517TAWCSCB54D25BR1TR1I377	SB060517TAWCSCB71D20BR1TR1I374	SB060517TAWCSCB61D11BR1TR1I370	SB060517TAWCSCB73D12BR1TR1I385	SB060517TAWCSCB62D9BR1TR1I371	SB060517TAWCSCB62D9BR1TR1I380	SB060517TAWCSCB63D10BR1TR1I372	SB060517TAWCSCB63D10BR1TR1I381	SB060517TAWCSCB53D25BR2TR1I367	SB060517TAWCSCB61D11BR1TR1I379	SB060517TAWCSCB53D5BR1TR1I352	SB060517TAWCSCB73D12BR1TR1I376	SB060517TAWCSCB31D13BR1TR1I357	SB060517TAWCSCB22D11BR2TR1I356	SB060517TAWCSCB44D31BR1TR1I363	SB060517TAWCSCB44D5BR1TR1I353	SB060517TAWCSCB51D33BR1TR1I364	SB060517TAWCSCB43CD27BR1TR1I362	SB060517TAWCSCB42CD26BR1TR1I361	SB060517TAWCSCB33CD24BR1TR1I359	SB060517TAWCSCB33CD5BR1TR1I354	SB060517TAWCSCB32D10BR2TR1I358	SB062617TAWCSCB44D31BR1TR1I363	SB062617TAWCSCB43CD27BR1TR1I362	SB062617TAWCSCB53D25BR1TR1I366	SB062617TAWCSCB31D13BR1TR1I357	SB071017TAWCSCB73D12BR1TR1I419	SB071017TAWCSCB73D12BR1TR1I410	SB071017TAWCSCB72D20BR1TR1I409	SB071017TAWCSCB63D10BR1TR1I406	SB071017TAWCSCB62D9BR1TR1I405	SB071017TAWCSCB61D11BR1TR1I404	SB071017TAWCSCB71D20BR1TR1I417	SB071017TAWCSCB71D20BR1TR1I408	SB071017TAWCSCB54D25BR2TR1I412	SB071017TAWCSCB54D25BR1TR1I402	SB071017TAWCSCB44D31BR1TR1I397	SB071017TAWCSCB51D33BR1TR1I398	SB071017TAWCSCB31D13BR1TR1I391	SB071017TAWCSCB32D10BR1TR1I392	SB071017TAWCSCB33CD5BR1TR1I388	SB071017TAWCSCB22D11BR2TR1I390	SB071017TAWCSCB42CD26BR1TR1I395	SB071017TAWCSCB43CD27BR1TR1I396	SB071017TAWCSCB44D5BR1TR1I387	SB071017TAWCSCB33CD24BR1TR1I393	SB080717TAWCSCB61D11BR1TR1I447	SB080717TAWCSCB53D5BR1TR1I420	SB080717TAWCSCB54D25BR2TR1I437	SB080717TAWCSCB54D25BR2TR1I446	SB080717TAWCSCB71D20BR1TR1I442	SB080717TAWCSCB71D20BR1TR1I451	SB080717TAWCSCB62D9BR1TR1I439	SB080717TAWCSCB73D12BR1TR1I453	SB080717TAWCSCB63D10BR1TR1I440	SB080717TAWCSCB72D20BR1TR1I443	SB080717TAWCSCB63D10BR1TR1I449	SB080717TAWCSCB72D20BR1TR1I452	SB080717TAWCSCB73D12BR1TR1I444	SB080717TAWCSCB51D33BR1TR1I432	SB080717TAWCSCB62D9BR1TR1I448	SB080717TAWCSCB44D31BR1TR1I431	SB080717TAWCSCB31D13BR1TR1I425	SB080717TAWCSCB44D5BR1TR1I421	SB080717TAWCSCB32D10BR1TR1I426	SB080717TAWCSCB33CD5BR1TR1I422	SB080717TAWCSCB33CD24BR1TR1I427	SB080717TAWCSCB42CD26BR1TR1I429	SB080717TAWCSCB43CD27BR1TR1I430	SB080717TAWCSCB22D11BR1TR1I423	95_FiltCtrl_Surface_R1	SB082817TAWCSCB54D25BR1TR1I470	SB082817TAWCSCB53D25BR1TR1I468	SB082817TAWCSCB73D12BR1TR1I478	SB082817TAWCSCB44D5BR1TR1I455	SB082817TAWCSCB22D11BR2TR1I458	SB082817TAWCSCB63D10BR1TR1I483	SB082817TAWCSCB32D10BR1TR1I460	SB082817TAWCSCB63D10BR1TR1I474	SB082817TAWCSCB44D31BR1TR1I465	SB082817TAWCSCB31D13BR1TR1I459	SB082817TAWCSCB62D9BR1TR1I473	SB082817TAWCSCB62D9BR1TR1I482	SB082817TAWCSCB42CD26BR1TR1I463	SB082817TAWCSCB54D25BR2TR1I480	SB082817TAWCSCB43CD27BR1TR1I464	SB082817TAWCSCB53D5BR1TR1I454	SB082817TAWCSCB33CD24BR1TR1I461	SB082817TAWCSCB33CD5BR1TR1I456	SB082817TAWCSCB51D33BR1TR1I466	SB091817TAWCSCB53D25BR2TR1I503	SB091817TAWCSCB63D10BR1TR1I518	SB091817TAWCSCB63D10BR1TR1I508	SB091817TAWCSCB72D20BR1TR1I511	SB091817TAWCSCB62D9BR1TR1I517	SB091817TAWCSCB62D9BR1TR1I507	SB091817TAWCSCB71D20BR1TR1I520	SB091817TAWCSCB71D20BR1TR1I510	SB091817TAWCSCB54D25BR2TR1I505	SB091817TAWCSCB53D5BR1TR1I488	SB091817TAWCSCB22D11BR2TR1I492	SB091817TAWCSCB44D31BR1TR1I499	SB091817TAWCSCB44D5BR1TR1I489	SB091817TAWCSCB43CD27BR1TR1I498	SB091817TAWCSCB42CD26BR1TR1I497	SB091817TAWCSCB33CD24BR1TR1I495	SB091817TAWCSCB33CD5BR1TR1I490	SB091817TAWCSCB32D10BR1TR1I494	SB091817TAWCSCB31D13BR1TR1I493	SB091817TAWCSCB72D20BR1TR1I521	SB091817TAWCSCB51D33BR1TR1I500	SB091817TAWCSCB73D12BR1TR1I522
methanotrophy	0.4007323539	0.4444444444	0	0	0	0	0	0	0	0	0	0.0001442932038	0	0.0008657592227	0	0.387168816	1.598266337	0	0.3311552937	0.5449636824	6.439368548	0.01089918256	0.0003366841422	0.1255208866	0.0004088307441	0	0.02452316076	0.0136239782	7.21466019e-05	9.619546919e-05	0	0	0	0	0	0	0.001972007118	0	0.002332740128	0	0.003390890289	0.1393068615	0.002477033332	1.200276301	0.01793443995	0.3045327721	0.02015300351	0.2879787639	4.462121733	0.04507867459	0.03551749714	0.02664435444	1	0	0	0	0.0001683420711	0	0.001491029772	0	0	0	0.06547608007	0.1194478065	0.0001683420711	0.0002645375403	0.007051882702	0	0	0	0.004910023944	1.641659317	0.2327665055	0	0	0.0001923909384	0	0	0.0001923909384	0	0	0	1.000553124	0	0.0001442932038	7.712447551	0	0	1	0.0003607330095	0	1.124978145	0	0.1274098166	0.7835002781	0.7128017853	0	0.0003607330095	0	0	0	0	0.0003366841422	0	0	0	0	0	0	0	7.21466019e-05	3.342788932	1.326635982	2.950330113	1.027000514	0.0001442932038	0	0	0.001508864579	2.056603774	0.0001683420711	0.0002885864076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01312069515	0	0	0	0	0	0	0.0002645375403	0	0.0003126352749	0	0.0002645375403	0	0.5395641789	0	0	0	0	0	0	0	0	0	0	7.21466019e-05	0	0.03251355691	0.03299912201	0	5.15528537	0.0006733682844	0.003973627688	0	0.03419992957	0	0	0	0	0	0	0	0	0.007338614249	0	0	0	0	0.2277858797	0	0.0005531239479	0.9962625647	0	0.2985133451	0.03886781272	0.03315070842	0	0.002885864076	0.805136841	0	0	0	0	0.2630303051	0.4814182189	0	0.2680849856	0	0.001707469578	1.053684316	2.75862069	0	1.165749821	0.4615384615	0.04011459924	0	0.09495067792	0	0.00925881391	0.008174386921	0	0	0	0	0	0	0	0	0	2.895846948	0.0001202443365	0	0.0009860035592	1.902023679	0.07311791288	0.009358751267	0.1054650177	0.06828684083	0	0.0001923909384	0
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04285714286	0	0	0	0.01904761905	0	0	0.1619047619	0	0	1.5625	0	0	0	0.0619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01428571429	0	0	1	0	0.01904761905	0.0380952381	0	0	0	0	0	0.05238095238	0	0	0	0	0	0	0.009523809524	0	0	0	0	0.03333333333	0	0	0	0	0	0	0	0	0.01904761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01904761905	0	0	0	0	0	0	0.4375	0	0.0619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07619047619	0	0	1	0	0	0	0	0	0.03333333333	0	0	0	0	0	0.02380952381	0	0	0.01904761905	0	0	0	0.2285714286	0	0.009523809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05714285714	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7222222222	0	0.2777777778	0	0	0	0.4444444444	0	0	0	0	0	0	0	0.125	0.1875	0	0	0	0	0	0	0	0	0.6666666667	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0.1304347826	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3846153846	0	0.6153846154	0	0	0	0.2272727273	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.884057971	0	1	0.2608695652	0	0	0	0	0	0	0	0	0	0.1142857143	0	0	0	0	0	0	2	0	0	5.048387097	0	0	0	1	0	0.08695652174	0	0	0	0.1290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05714285714	0	0.3225806452	0.09090909091	0	0.2285714286	0	0	0	0	0	1	0	0	0	0.08571428571	0	0	0	0	0	0	0	0.1142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1739130435	0	0	0	0	0.1818181818	0	1.057142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.1304347826	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.2857142857	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05714285714	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0.1304347826	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3846153846	0	0.6153846154	0	0	0	0.2272727273	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.884057971	0	1	1.260869565	0	0	1	0	0	0	1	0	0	0.1142857143	0	0	0	0	0	0	2	0	0	5.048387097	0	0	0	1	0	0.08695652174	0	0	0	0.1290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05714285714	0	0.3225806452	1.090909091	0	0.2285714286	0	0	0	0	0	1	0	0	0	0.08571428571	0	0	0	0	0	0	0	0.1142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1739130435	0	0	0	0	0.1818181818	0	1.057142857	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0.1304347826	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.2857142857	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05714285714	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0.1304347826	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106837607	0	0.8931623932	0	0	0	0.6717171717	0	0	1.09375	2	1	0	0	0.125	0.1875	0	0	0	0	0	0	0	0	0.884057971	0	1.125	1.260869565	0	0	1	0	0	0.0625	1	0	0	0.1571428572	0	0	0	0.01904761905	0	0	2.161904762	0	0	6.798387097	0	0	0	1.061904762	0	0.08695652174	0	0	0	0.1290322581	0	0.1875	0	0	0	0	0	0	0	0	0	0	0.01428571429	0.05714285714	0	1.322580645	1.090909091	0.01904761905	0.2666666667	0	0	0	0	0.1875	1.052380952	0	0	0	0.08571428571	0	0	0.009523809524	0	0	0	0	0.1476190476	0	0	0	0	0	0	0	0	0.01904761905	0	0	0	0	0.3333333333	0	0	0.40625	0	0	0	0	0	0	0	0	0.01904761905	0	0.1739130435	0	0	0	0	0.6193181818	0	1.119047619	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.076190476	0	0.1304347826	1.125	0	0	0	1.555555556	0	0.03333333333	1	0	0	0	0	1.023809524	0	0	0.01904761905	0	0	0	0.5142857143	0	0.009523809524	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0.2446428571	0.05714285714	0	0	0	0	0	0
methanol_oxidation	0.02616517975	0.1361637626	0.003149343678	0.0009429931281	0.001645782524	0.007948327485	0.0003657813085	0.0423263361	0.005861592663	0.01198727456	0.03900816078	0.02890571808	0.03341541073	0.01787999601	0.02604708405	0.01262263917	0.03023826642	0.002356664325	0.1198891582	0.03331107846	0.04471537149	0.04323898942	0.0003859997833	0.04850957027	0.01982900157	0.002048691538	0.03134503287	0.004377263088	0.008701128384	0.00072789945	0.0007918530315	0.001033318402	0.0500166965	0.001492894541	0.07922472591	0.03425165024	0.009825169824	0.007418735959	1.012444655	0.001221164812	0.01567673759	0.06077679545	0.004237679332	1.096662447	0.01509513215	0.1870386871	0.01092233223	0.0632330117	1.300433366	0.009694847019	0.004387538732	0.4068231633	0.05423754466	0.04041913585	0.0008430870613	0.001694027612	0.00104792354	0.001769317188	0.001807681499	0.002246770609	0.00163085901	0.006374221774	0.01567570215	0.0217787333	0.01181792364	0.013543936	0.001618451163	0.00185739874	0.02154133516	0.0007129497417	0.0007844490599	0.0520117341	0.01148676894	0.04454590755	0.07448398913	0.05063545069	0.05927123039	0.1199827159	1.565196882	0.5687582997	0.4641155255	0.06621995016	1.523914891	0.07535823654	0.2196335104	4.944751754	0.08698438213	0.06706562539	0.4272030307	1.284994302	0.2446793413	0.2411059297	0.004491791783	0.7860805641	0.5922992725	2.556041503	0.7033689235	0.0309726606	0.1455437202	0.01747619979	0.03567802326	0.02745831806	0.2212789675	0.01412523027	2.241086003	0.005606251852	0.02753686827	0.8793781427	0.02555255471	0.01923071383	0.0455839237	2.585630053	0.05679288483	0.1156472203	3.152270635	0.006829252054	0.01052792989	0.1804266236	0.01735175312	0.193569444	1.023081029	0.01483132939	0.05191520987	0.03201770645	0.4327087371	0.00159544285	0.004146470434	0.1373148424	0.01478061702	0.1018804211	0.02625609123	0.0290460926	0.00513214334	0.2460931741	0.07103531979	0.01277380495	0.004382245897	0.07798488353	0.01640620332	0.1117046926	0.007557361515	0.01738068053	0.00353903099	0.02409074734	0.003725189011	0.3532299518	0.004703623376	0.004455801246	0.1343279076	1.187340181	0.1344170344	0.01982266636	0.01219451523	0.005103836356	0.01784234529	0.005515209706	0.01051056582	0.05581893689	0.03405108284	0.002952863962	0.2014445088	0.1479822518	0.01365551741	0.00939262066	0.003684970141	3.202209116	0.2827883446	0.03557657237	0.006700885118	2.011036682	0.009516080282	0.003413002083	0.02258472758	0.03743620267	0.01651563174	0.1188992657	0.1679106931	0.1138545617	0.004637012712	0.07922472591	0.01206590537	0.009524257343	0.167199553	2.171838696	0.03109545	0.3727774144	0.07212676381	0.04135475366	0.01167909632	0.006871258045	0.01067065367	0.1429553693	0.03365600285	0.6760023233	0.01381751937	0.007969031989	0.03476473881	0.01041784715	0.03338217094	0.01513441254	0.024573453	1.017176938	0.008616348885	0.007535992424	0.435227774	0.3919443159	0.03800990998	0.3737163726	0.01494527961	0.03336202977	0.04418445903	0.003116842976	0.004043388234	0.008800696218	0.01087803697	0.008249918804	0.1024476174	0.03724452938	0.07587347295	0.008402270881	0.0158479099	0.08801262474	0.04480404959	0.4245195956	0.04460081289	0.0414888996	0.480280927	1.013130364	0.4225018461	0.2615865471	0.2297514326	1.040088822	0.0383651732	0.01162307633	0.03993234112	0.089234918
methylotrophy	0.4268975337	0.580608207	0.003149343678	0.0009429931281	0.001645782524	0.007948327485	0.0003657813085	0.0423263361	0.005861592663	0.01198727456	0.03900816078	0.02905001129	0.03341541073	0.01874575523	0.02604708405	0.3997914552	1.628504604	0.002356664325	0.4510444519	0.5782747609	6.48408392	0.05413817198	0.0007226839255	0.1740304568	0.02023783232	0.002048691538	0.05586819363	0.01800124129	0.008773274986	0.0008240949192	0.0007918530315	0.001033318402	0.0500166965	0.001492894541	0.07922472591	0.03425165024	0.01179717694	0.007418735959	1.014777395	0.001221164812	0.01906762787	0.200083657	0.006714712664	2.296938749	0.0330295721	0.4915714592	0.03107533574	1.351211776	6.762555099	0.05477352161	0.03990503587	0.4334675178	1.054237545	0.04041913585	0.0008430870613	0.001694027612	0.001216265611	0.001769317188	0.003298711271	0.002246770609	0.00163085901	0.006374221774	0.08115178222	0.1412265398	0.01198626571	1.013808474	0.008670333865	0.00185739874	1.021541335	0.0007129497417	0.005694473004	1.693671051	1.244253274	0.04454590755	0.07448398913	0.05082784163	0.05927123039	0.1199827159	1.565389273	0.5687582997	0.4641155255	0.06621995016	2.524468015	0.07535823654	0.2197778036	12.65719931	0.08698438213	0.06706562539	1.427203031	1.285355035	0.2446793413	1.366084075	0.004491791783	0.9134903807	1.375799551	3.268843289	0.7033689235	0.03133339361	0.1455437202	0.01747619979	0.03567802326	0.02745831806	0.2216156516	0.01412523027	2.241086003	0.005606251852	0.02753686827	0.8793781427	0.02555255471	0.01923071383	0.04565607031	5.928418985	2.383428867	3.065977333	4.17927115	0.006973545258	0.01052792989	0.1804266236	0.0188606177	2.250173218	1.023249372	0.0151199158	0.05191520987	0.03201770645	0.4327087371	0.00159544285	0.004146470434	0.1373148424	0.01478061702	0.1018804211	0.02625609123	0.0290460926	0.00513214334	0.2460931741	0.07103531979	0.01277380495	0.01750294105	0.07798488353	0.01640620332	0.1117046926	0.007557361515	0.01738068053	0.00353903099	0.02435528488	0.003725189011	0.3535425871	0.004703623376	0.004720338787	0.1343279076	1.72690436	0.1344170344	0.01982266636	0.01219451523	0.005103836356	0.01784234529	0.005515209706	0.01051056582	0.05581893689	0.03405108284	0.002952863962	0.2015166554	0.1479822518	0.04616907432	0.04239174267	0.003684970141	8.357494486	0.2834617129	0.03955020006	0.006700885118	2.045236611	0.009516080282	0.003413002083	0.02258472758	0.03743620267	0.01651563174	0.1188992657	0.1679106931	0.1138545617	1.011975627	0.07922472591	0.01206590537	0.009524257343	0.167199553	2.399624576	0.03109545	0.3733305384	1.068389329	0.04135475366	0.3101924415	0.04573907077	0.04382136209	0.1429553693	0.03654186693	1.481139164	0.01381751937	0.007969031989	0.03476473881	0.01041784715	0.2964124761	0.4965526314	0.024573453	1.285261924	0.008616348885	0.009243462002	1.48891209	3.150565006	0.03800990998	1.539466193	0.4764837411	0.07347662901	0.04418445903	0.0980675209	0.004043388234	0.01805951013	0.01905242389	0.008249918804	0.1024476174	0.03724452938	0.07587347295	0.008402270881	0.0158479099	0.08801262474	0.04480404959	0.4245195956	2.940447761	0.04160914393	0.480280927	1.014116368	2.324525525	0.33470446	0.2391101838	1.14555384	0.106652014	0.01162307633	0.04012473206	0.089234918
