"ward_clusters"	"complete_clusters"
"OTU1"	64	71
"OTU2"	NA	NA
"OTU3"	72	42
"OTU4"	7	9
"OTU5"	NA	39
"OTU7"	60	NA
"OTU8"	25	75
"OTU9"	13	15
"OTU10"	NA	NA
"OTU11"	5	8
"OTU12"	72	42
"OTU13"	94	NA
"OTU14"	33	33
"OTU15"	72	42
"OTU17"	19	19
"OTU19"	6	NA
"OTU20"	13	15
"OTU21"	99	NA
"OTU22"	13	15
"OTU23"	5	8
"OTU24"	158	134
"OTU25"	NA	NA
"OTU26"	95	NA
"OTU27"	11	12
"OTU29"	30	38
"OTU31"	NA	NA
"OTU32"	19	19
"OTU33"	NA	NA
"OTU34"	NA	89
"OTU35"	102	NA
"OTU36"	NA	NA
"OTU37"	NA	NA
"OTU38"	113	76
"OTU39"	NA	NA
"OTU40"	35	113
"OTU41"	72	42
"OTU42"	7	9
"OTU43"	113	76
"OTU44"	137	NA
"OTU46"	13	15
"OTU47"	6	NA
"OTU48"	NA	NA
"OTU49"	NA	15
"OTU50"	35	113
"OTU51"	NA	19
"OTU52"	158	134
"OTU53"	32	29
"OTU54"	NA	NA
"OTU55"	97	72
"OTU56"	NA	NA
"OTU57"	32	29
"OTU58"	NA	39
"OTU59"	NA	NA
"OTU60"	NA	NA
"OTU62"	159	167
"OTU63"	NA	42
"OTU65"	NA	NA
"OTU66"	60	NA
"OTU67"	NA	NA
"OTU68"	NA	NA
"OTU70"	NA	55
"OTU71"	NA	NA
"OTU72"	NA	NA
"OTU73"	19	19
"OTU74"	141	165
"OTU75"	64	71
"OTU76"	NA	39
"OTU77"	87	113
"OTU78"	NA	NA
"OTU79"	NA	55
"OTU80"	NA	NA
"OTU81"	NA	NA
"OTU82"	72	42
"OTU83"	NA	25
"OTU84"	33	33
"OTU85"	NA	NA
"OTU86"	9	10
"OTU88"	9	10
"OTU89"	NA	60
"OTU90"	NA	NA
"OTU91"	NA	19
"OTU92"	NA	39
"OTU93"	55	74
"OTU94"	187	144
"OTU95"	NA	25
"OTU96"	167	89
"OTU97"	NA	NA
"OTU98"	57	63
"OTU99"	NA	NA
"OTU101"	64	71
"OTU102"	NA	NA
"OTU104"	44	51
"OTU105"	NA	NA
"OTU106"	64	71
"OTU107"	30	38
"OTU108"	NA	NA
"OTU109"	72	42
"OTU110"	22	13
"OTU111"	NA	89
"OTU112"	NA	39
"OTU113"	11	12
"OTU114"	NA	NA
"OTU115"	NA	NA
"OTU116"	137	NA
"OTU117"	145	162
"OTU118"	NA	NA
"OTU119"	NA	39
"OTU120"	NA	NA
"OTU121"	NA	NA
"OTU122"	NA	NA
"OTU123"	NA	NA
"OTU124"	NA	NA
"OTU125"	NA	NA
"OTU126"	13	15
"OTU127"	NA	NA
"OTU128"	113	76
"OTU129"	NA	NA
"OTU130"	NA	NA
"OTU133"	NA	NA
"OTU134"	134	43
"OTU135"	25	75
"OTU137"	NA	NA
"OTU139"	44	51
"OTU140"	76	NA
"OTU141"	NA	NA
"OTU142"	76	NA
"OTU143"	NA	NA
"OTU144"	NA	NA
"OTU145"	NA	NA
"OTU146"	76	NA
