"OEU.1"	"OEU.2"	"OEU.3"	"OEU.4"	"OEU.5"	"OEU.6"	"OEU.7"	"OEU.8"	"OEU.9"	"OEU.10"	"OEU.11"	"OEU.12"	"OEU.13"	"OEU.14"	"OEU.15"	"OEU.16"	"OEU.17"	"OEU.18"	"OEU.19"	"OEU.20"	"OEU.21"	"OEU.22"	"OEU.23"	"OEU.24"	"OEU.25"	"OEU.26"	"OEU.27"	"OEU.28"	"OEU.29"	"OEU.30"	"OEU.31"	"OEU.32"	"OEU.33"	"OEU.34"	"OEU.35"	"OEU.36"	"OEU.37"	"OEU.38"	"OEU.39"	"OEU.40"	"OEU.41"	"OEU.42"	"OEU.43"	"OEU.44"	"OEU.45"	"OEU.46"	"OEU.47"	"OEU.48"	"OEU.49"	"OEU.50"	"OEU.51"	"OEU.52"	"OEU.53"	"OEU.54"	"OEU.55"	"OEU.56"	"OEU.57"	"OEU.58"	"OEU.59"	"OEU.60"	"OEU.61"	"OEU.62"	"OEU.63"	"OEU.64"	"OEU.65"	"OEU.66"	"OEU.67"	"OEU.68"	"OEU.69"	"OEU.70"	"OEU.71"	"OEU.72"	"OEU.73"	"OEU.74"	"OEU.75"	"OEU.76"	"OEU.77"	"OEU.78"	"OEU.79"	"OEU.80"	"OEU.81"	"OEU.82"	"OEU.83"	"OEU.84"	"OEU.85"	"OEU.86"	"OEU.87"	"OEU.88"	"OEU.89"	"OEU.90"	"OEU.91"	"OEU.92"	"OEU.93"	"OEU.94"	"OEU.95"	"OEU.96"	"OEU.97"	"OEU.98"	"OEU.99"	"OEU.100"	"OEU.101"	"OEU.102"	"OEU.103"	"OEU.104"	"OEU.105"	"OEU.106"	"OEU.107"	"OEU.108"	"OEU.109"	"OEU.110"	"OEU.111"	"OEU.112"	"OEU.113"	"OEU.114"	"OEU.115"	"OEU.116"	"OEU.117"	"OEU.118"	"OEU.119"	"OEU.120"	"OEU.121"	"OEU.122"	"OEU.123"	"OEU.124"	"OEU.125"	"OEU.126"	"OEU.127"	"OEU.128"
"SB071116TAWCSCB22D11BR2TR2I616"	0	4640	1326	331	0	34803	994	3977	13258	4972	0	47067	39775	331	0	1326	0	0	1657	663	0	663	0	9612	2983	0	0	0	0	75572	28174	0	0	0	0	0	7292	331	0	0	0	212131	0	331	0	0	1657	11269	0	2983	0	0	0	0	0	0	0	0	0	0	2320	62645	2983	0	331	331	6961	0	6629	0	0	0	0	0	0	0	0	0	0	0	0	2652	0	0	0	22207	0	0	0	0	0	0	0	0	663	0	2983	0	663	0	10607	0	0	0	0	0	18561	4972	91482	24859	42426	2320	3977	2652	0	3977	663	0	0	0	0	0	0	0	0	0	0	0
"SB071116TAWCSCB74D13BR2TR1I173"	5966	0	5635	331	331	0	0	26848	3646	11269	75903	994	0	663	0	0	0	3977	0	0	21545	2983	1989	2983	0	1657	17236	23865	0	2983	0	5303	0	3646	59330	331	0	0	0	0	6298	1989	0	0	52038	331	994	0	0	0	0	6629	663	0	0	994	0	0	11601	0	0	331	0	0	663	0	0	35466	663	0	20550	331	663	93139	2983	0	0	0	0	331	0	9944	663	0	663	0	0	0	0	11269	0	0	0	1326	331	0	0	0	3315	0	0	0	331	0	663	2320	20219	15910	3315	5303	73914	46404	663	7292	331	0	331	0	0	2983	0	663	0	2983	62976	663	0	49387
"SB071116TAWCSCB64D10BR1TR1I165"	12927	0	2320	663	0	0	0	22539	0	50713	16241	0	0	663	0	0	0	1657	9612	1657	3646	0	994	0	0	4309	44084	46404	1989	0	0	7955	0	0	50050	0	0	663	0	0	0	663	0	0	14915	0	0	0	0	0	0	0	0	0	0	663	0	0	331	0	0	331	0	0	1989	0	663	1326	994	2983	0	1989	0	0	0	0	0	0	0	8949	0	34471	1326	0	331	1657	0	0	0	0	331	0	0	3315	0	0	0	0	0	0	0	0	0	0	7623	0	73914	46735	31488	21213	73583	70600	3315	38117	6629	0	4972	0	0	7623	0	0	0	994	6961	0	0	0
"SB071116TAWCSCB72D20BR1TR1I169"	38449	0	2983	3315	0	0	0	11601	0	26848	32814	0	0	0	0	0	0	994	8286	0	3646	0	0	0	0	3977	30825	47730	0	0	0	13590	0	0	45741	0	0	0	0	994	14253	0	0	0	24528	0	0	0	0	0	0	0	0	0	0	14584	0	0	663	0	0	0	0	0	994	0	1657	4309	0	663	10607	994	663	0	3977	0	3977	0	0	1657	0	26848	0	0	10607	994	0	0	0	0	0	0	0	3315	0	0	0	0	6298	0	0	0	3646	0	4640	2652	64302	44746	18893	16904	72257	81206	2652	27179	0	0	1326	0	0	3315	0	0	0	331	7623	6629	0	0
"SB071116TAWCSCB63D10BR2TR1I164"	12264	0	2652	14253	0	0	0	26185	0	55684	9612	0	0	994	0	663	0	0	7292	3977	0	0	994	0	0	6961	35466	31157	994	0	0	0	0	0	34803	0	0	0	0	0	0	5966	0	0	4972	0	994	0	0	994	0	0	0	0	0	10275	0	0	0	0	0	0	663	0	1657	0	1326	0	663	663	0	4640	0	0	0	0	994	0	0	5303	0	27842	1657	0	0	6629	0	0	0	0	663	0	0	2652	0	0	0	0	0	0	0	0	0	0	6298	0	76566	56679	28174	29500	84521	74577	5303	42426	6298	0	5303	2652	0	13921	0	0	0	0	2652	1326	0	0
"SB071116TAWCSCB62D9BR2TR1I162"	1989	663	663	1989	0	0	331	26185	0	78555	6298	663	0	0	0	0	0	331	2320	4640	1989	0	994	0	0	10607	29831	16241	1326	0	1657	5966	0	994	30162	0	0	1326	0	0	0	4309	0	0	8618	0	0	994	0	1989	0	0	663	0	0	1989	0	0	0	0	331	331	0	0	1326	0	0	0	3315	1657	0	7955	0	0	331	0	0	0	0	4640	0	26516	1657	0	0	6629	0	0	0	331	663	0	0	331	0	0	0	0	0	0	1657	0	0	0	7623	0	63308	48724	39443	25191	120650	50050	2983	31820	10275	2983	12927	6298	0	8949	0	331	0	1326	994	0	0	0
"SB071116TAWCSCB62D9BR1TR1I161"	1326	2983	0	1989	0	0	4972	23202	0	67617	9281	0	0	0	0	0	0	0	663	6298	2652	0	0	0	0	11269	25522	17899	1989	0	0	0	0	0	22539	0	0	0	0	0	0	5303	0	0	1326	0	994	0	0	0	0	0	0	0	0	3315	0	0	0	0	0	331	0	0	1657	0	0	0	0	994	0	4640	0	0	0	0	0	0	0	2320	0	24196	0	0	0	6298	0	0	0	0	994	0	0	1657	0	0	0	0	0	0	2652	0	0	0	7623	0	71263	42758	38780	20550	159430	58668	3977	35797	10938	0	11932	4640	0	7292	0	0	0	0	0	0	0	0
"SB071116TAWCSCB71D20BR2TR1I168"	20219	3646	3315	0	0	0	663	16241	0	41100	12927	0	0	0	0	0	0	663	331	994	663	0	1657	0	0	1657	27179	41432	331	0	0	4309	0	0	31157	331	0	0	0	331	21213	663	0	0	12264	0	0	0	0	0	0	0	3977	0	1326	3977	0	0	0	0	0	0	0	0	331	0	994	331	994	663	13921	3646	6961	663	6961	0	994	0	0	5635	0	34140	331	0	5635	0	0	0	0	0	0	0	0	1326	331	0	0	331	17899	994	331	0	331	0	3315	1989	50050	41763	20550	14253	183626	48061	1657	24528	6298	331	3977	0	0	23533	0	994	1326	663	1657	1326	0	0
"SB071116TAWCSCB71D20BR1TR1I167"	6298	0	0	994	0	0	663	21876	0	38117	10938	0	0	331	0	0	0	0	663	2320	1326	0	994	0	0	6298	37786	38117	663	0	0	5635	0	0	25191	0	0	331	0	0	0	1989	331	0	5303	0	0	0	0	0	0	0	331	0	0	3315	0	0	0	0	0	0	1326	0	663	0	0	663	6298	1657	0	1989	0	0	0	0	0	0	0	8286	0	43089	331	0	0	663	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	4972	0	50713	50381	20550	17899	235996	47067	994	26848	3315	0	2320	663	0	44415	0	331	0	2320	0	0	0	0
"SB071116TAWCSCB54D25BR2TR1I158"	7955	0	994	4972	663	0	0	23865	8286	24196	12264	0	663	0	0	331	0	994	1657	663	1657	8949	1326	6961	1326	11932	61982	39775	994	6298	0	3646	0	0	44415	0	0	0	0	0	0	331	331	0	8286	0	0	0	0	331	0	0	1326	0	0	9944	0	0	331	0	0	331	663	0	1989	0	1326	663	1326	2320	0	1657	0	0	0	663	0	0	0	16573	0	32151	1989	0	1657	2652	0	0	0	0	994	0	0	1989	663	0	0	0	2320	0	0	0	0	0	5303	0	58336	55353	23202	21213	154127	69606	2320	27511	4640	0	331	0	0	24196	0	994	0	0	663	663	0	0
