#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
     1  OTU1         250      524      773  5'&3'    229.41   0.999       0.12       0.10       0.22      5.73
     2  OTU10        250      524      773  5'&3'    231.25   1.000       0.10       0.08       0.18      5.69
     3  OTU100       250      524      773  5'&3'    234.64   1.000       0.13       0.09       0.23      5.66
     4  OTU1000      250      524      773  5'&3'    243.25   1.000       0.10       0.08       0.17      5.64
     5  OTU1001      251      524      773  5'&3'    217.91   0.998       0.13       0.10       0.23      5.89
     6  OTU1003      250      524      773  5'&3'    221.60   1.000       0.09       0.11       0.21      5.76
     7  OTU1004      250      524      773  5'&3'    220.19   1.000       0.09       0.12       0.21      5.72
     8  OTU1005      250      524      773  5'&3'    236.76   1.000       0.10       0.10       0.20      5.65
     9  OTU1006      250      524      773  5'&3'    238.95   1.000       0.10       0.10       0.20      5.68
    10  OTU1007      250      524      773  5'&3'    227.17   1.000       0.10       0.10       0.20      5.72
    11  OTU1008      250      524      773  5'&3'    224.92   1.000       0.10       0.10       0.20      5.72
    12  OTU1009      250      524      773  5'&3'    225.57   1.000       0.12       0.09       0.21      5.77
    13  OTU101       250      524      773  5'&3'    227.77   0.999       0.08       0.12       0.20      5.73
    14  OTU1010      250      524      773  5'&3'    219.42   1.000       0.08       0.12       0.20      5.85
    15  OTU10110     250      524      773  5'&3'    225.69   1.000       0.10       0.10       0.20      5.67
    16  OTU1012      250      524      773  5'&3'    218.91   1.000       0.12       0.09       0.21      5.73
    17  OTU1013      250      524      773  5'&3'    226.57   1.000       0.08       0.12       0.19      5.70
    18  OTU1014      250      524      773  5'&3'    233.90   1.000       0.11       0.10       0.21      5.69
    19  OTU1015      250      524      773  5'&3'    217.59   1.000       0.12       0.09       0.21      5.70
    20  OTU1016      250      524      773  5'&3'    233.61   1.000       0.11       0.10       0.21      5.69
    21  OTU1017      250      524      773  5'&3'    235.02   1.000       0.11       0.09       0.21      5.69
    22  OTU102       250      524      773  5'&3'    237.77   1.000       0.08       0.12       0.20      5.67
