#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
     1  OTU1         250      524      773  5'&3'    229.41   0.999       0.23       0.21       0.44      5.73
     2  OTU2         250      524      773  5'&3'    236.52   1.000       0.23       0.20       0.44      5.66
     3  OTU3         250      524      773  5'&3'    234.38   1.000       0.23       0.20       0.44      5.63
     4  OTU4         251      524      773  5'&3'    227.81   0.998       0.23       0.21       0.44      5.80
     5  OTU5         250      524      773  5'&3'    233.52   1.000       0.23       0.20       0.44      5.63
     6  OTU7         251      524      773  5'&3'    225.42   0.998       0.23       0.20       0.44      5.80
     7  OTU8         250      524      773  5'&3'    227.31   0.999       0.23       0.20       0.44      5.73
     8  OTU9         250      524      773  5'&3'    225.24   1.000       0.23       0.20       0.44      5.72
     9  OTU10        250      524      773  5'&3'    231.25   1.000       0.23       0.21       0.44      5.69
    10  OTU11        250      524      773  5'&3'    226.37   1.000       0.23       0.20       0.44      5.71
    11  OTU12        250      524      773  5'&3'    240.25   1.000       0.23       0.20       0.44      5.68
    12  OTU13        250      524      773  5'&3'    229.20   1.000       0.23       0.20       0.44      5.71
    13  OTU14        251      524      773  5'&3'    229.33   0.998       0.23       0.20       0.44      5.84
    14  OTU15        250      524      773  5'&3'    232.59   1.000       0.23       0.20       0.44      5.64
    15  OTU16        250      524      773  5'&3'    230.08   1.000       0.23       0.21       0.44      5.66
    16  OTU17        250      524      773  5'&3'    219.73   1.000       0.23       0.20       0.44      5.71
    17  OTU19        250      524      773  5'&3'    225.16   1.000       0.23       0.21       0.44      5.62
    18  OTU20        250      524      773  5'&3'    238.97   1.000       0.23       0.20       0.44      5.65
    19  OTU21        250      524      773  5'&3'    238.03   1.000       0.23       0.20       0.44      5.67
    20  OTU22        250      524      773  5'&3'    228.29   1.000       0.23       0.20       0.44      5.66
    21  OTU23        250      524      773  5'&3'    227.96   1.000       0.23       0.21       0.44      5.71
    22  OTU24        250      524      773  5'&3'    232.69   1.000       0.23       0.20       0.44      5.73
    23  OTU25        250      524      773  5'&3'    227.31   1.000       0.23       0.21       0.45      5.71
    24  OTU26        251      524      773  5'&3'    226.04   0.998       0.23       0.20       0.44      5.75
    25  OTU27        250      524      773  5'&3'    235.08   1.000       0.06       0.02       0.08      5.65
    26  OTU28        250      524      773  5'&3'    221.40   1.000       0.06       0.02       0.08      5.64
    27  OTU29        250      524      773  5'&3'    169.44   0.993       0.06       0.04       0.10      6.49
    28  OTU30        250      524      773  5'&3'    236.19   1.000       0.06       0.02       0.08      5.63
    29  OTU31        250      524      773  5'&3'    236.24   1.000       0.06       0.02       0.08      5.67
    30  OTU32        250      524      773  5'&3'    226.48   1.000       0.06       0.02       0.08      5.67
    31  OTU33        250      524      773  5'&3'    212.85   1.000       0.06       0.03       0.09      5.73
    32  OTU34        250      524      773  5'&3'    221.97   1.000       0.06       0.03       0.09      5.69
    33  OTU35        251      524      773  5'&3'    228.22   0.998       0.06       0.03       0.09      5.84
    34  OTU36        250      524      773  5'&3'    218.48   1.000       0.06       0.03       0.09      5.70
    35  OTU37        250      524      773  5'&3'    228.82   1.000       0.06       0.03       0.09      5.78
