"OEU.1"	"OEU.2"	"OEU.3"	"OEU.4"	"OEU.5"	"OEU.6"	"OEU.7"	"OEU.8"	"OEU.9"	"OEU.10"	"OEU.11"	"OEU.12"	"OEU.13"	"OEU.14"	"OEU.15"	"OEU.16"	"OEU.17"	"OEU.18"	"OEU.19"	"OEU.20"	"OEU.21"	"OEU.22"	"OEU.23"	"OEU.24"	"OEU.25"	"OEU.26"	"OEU.27"	"OEU.28"	"OEU.29"	"OEU.30"	"OEU.31"	"OEU.32"	"OEU.33"	"OEU.34"	"OEU.35"	"OEU.36"	"OEU.37"	"OEU.38"	"OEU.39"	"OEU.40"	"OEU.41"	"OEU.42"	"OEU.43"	"OEU.44"	"OEU.45"	"OEU.46"	"OEU.47"	"OEU.48"	"OEU.49"	"OEU.50"	"OEU.51"	"OEU.52"	"OEU.53"	"OEU.54"	"OEU.55"	"OEU.56"	"OEU.57"	"OEU.58"	"OEU.59"	"OEU.60"	"OEU.61"	"OEU.62"	"OEU.63"	"OEU.64"	"OEU.65"	"OEU.66"	"OEU.67"	"OEU.68"	"OEU.69"	"OEU.70"	"OEU.71"	"OEU.72"	"OEU.73"	"OEU.74"	"OEU.75"	"OEU.76"	"OEU.77"	"OEU.78"	"OEU.79"	"OEU.80"	"OEU.81"	"OEU.82"	"OEU.83"	"OEU.84"	"OEU.85"	"OEU.86"	"OEU.87"	"OEU.88"	"OEU.89"	"OEU.90"	"OEU.91"	"OEU.92"	"OEU.93"	"OEU.94"	"OEU.95"	"OEU.96"	"OEU.97"	"OEU.98"	"OEU.99"	"OEU.100"	"OEU.101"	"OEU.102"	"OEU.103"	"OEU.104"	"OEU.105"	"OEU.106"	"OEU.107"	"OEU.108"	"OEU.109"	"OEU.110"	"OEU.111"	"OEU.112"	"OEU.113"	"OEU.114"	"OEU.115"	"OEU.116"	"OEU.117"	"OEU.118"	"OEU.119"	"OEU.120"	"OEU.121"	"OEU.122"	"OEU.123"	"OEU.124"	"OEU.125"	"OEU.126"	"OEU.127"	"OEU.128"
"SB071116TAWCSCB22D11BR2TR2I616"	38286	0	27937	23877	18860	6515	8301	0	16728	0	0	19856	5155	24466	4555	9962	0	13804	5412	20379	6131	16907	0	889	2421	0	0	0	0	0	4229	28463	0	8538	18359	0	0	0	0	2674	2201	0	992	0	0	0	0	0	0	8847	9887	0	0	0	0	0	0	0	0	0	0	8709	4244	0	0	0	0	0	0	0	0	30105	0	0	0	0	0	0	0	2897	805	19597	10720	0	5314	17160	0	0	1171	0	744	0	0	0	0	0	401	3437	0	0	0	0	0	0	2368	0	64491	11226	83882	139652	25126	4693	0	13232	124	0	0	20728	0	0	0	0	0	0	0	0	525	0
"SB071116TAWCSCB74D13BR2TR1I173"	0	0	2556	0	62801	7329	4970	78032	0	30546	6628	32568	1789	8984	0	0	0	12920	20239	1576	1105	10315	8691	887	0	32655	0	3049	3358	0	0	7557	0	22189	14633	0	0	0	260	0	0	2142	13726	0	0	0	0	9392	0	1126	0	0	303	0	0	5599	0	1966	0	0	864	0	0	3087	0	0	4253	1930	0	1072	0	30519	0	0	0	0	2843	0	0	7510	0	0	0	329	0	3787	0	0	0	0	0	0	352	116	4988	0	0	0	0	0	0	0	92	0	0	3381	63769	109706	20004	9303	1819	42534	2649	35602	18004	0	0	26971	3502	16029	2367	0	0	7177	5783	0	0	0
"SB071116TAWCSCB64D10BR1TR1I165"	3614	1412	21484	16705	38846	36712	0	0	0	18603	3119	9802	0	5250	14010	0	505	0	0	0	8087	14851	14206	0	0	0	0	58558	0	8355	0	14107	0	1573	29019	0	0	3913	0	8505	28881	25956	304	0	0	0	1544	24662	0	0	0	0	0	2036	0	4764	0	4249	0	3098	0	0	0	1209	523	1733	0	14548	0	0	0	26304	925	0	0	0	8449	0	0	2328	0	0	6567	0	0	25986	0	0	0	236	0	492	1513	11177	0	248	0	0	5136	0	0	0	0	0	0	0	0	14014	10094	54016	49624	57577	0	21101	2734	0	0	0	0	0	1680	0	458	3601	0	1077	0	0
"SB071116TAWCSCB72D20BR1TR1I169"	30258	0	39628	40029	12199	621	0	93291	0	13088	857	28816	7662	13674	0	0	0	0	11619	0	0	0	0	0	0	4816	0	36971	0	12607	0	0	0	12613	45345	5597	6432	0	0	6199	0	7599	8044	0	3700	13268	15962	0	1500	0	0	0	0	0	0	0	2692	1571	6593	0	0	0	0	0	1648	607	0	0	11704	0	16700	29222	0	0	0	0	0	0	0	0	976	0	0	638	0	40998	3085	0	0	4123	1450	0	0	0	0	0	0	0	1838	0	0	0	0	3082	0	0	16114	48994	9357	13883	18061	0	0	8660	18371	0	0	0	0	0	577	19107	0	9236	0	0	0	0
"SB071116TAWCSCB63D10BR2TR1I164"	41165	0	16477	7476	0	0	0	75411	0	0	4402	19705	12276	0	0	1622	0	0	0	396	11021	2068	4044	0	5543	0	0	0	0	0	0	0	11	7242	4413	0	6173	2737	1106	6706	0	103426	4421	0	12136	0	0	0	0	0	0	7268	2454	0	6677	0	797	0	1068	0	2476	0	0	18728	0	0	0	0	0	0	9898	1914	674	0	0	5564	12029	0	0	0	2006	26302	1311	0	0	13698	0	0	0	0	3062	1006	0	0	0	368	0	2499	4361	0	4358	1278	0	0	0	0	65732	61272	0	0	45053	23295	17152	31841	0	16135	0	0	0	0	0	10329	6288	733	1097	0	0	0
"SB071116TAWCSCB62D9BR2TR1I162"	14657	0	41198	16770	47208	5846	6842	509	154	20160	11276	32813	0	0	3178	0	0	0	15328	0	0	31950	0	0	5864	0	0	31947	0	0	7774	0	98	0	28526	0	0	0	0	12098	8513	22880	7371	13280	9100	6880	13823	0	341	423	0	3063	0	261	0	0	0	0	0	0	519	1100	0	0	0	0	0	11592	0	1077	0	6886	2346	0	0	3031	7748	4500	0	4432	0	12234	8794	0	2088	14708	0	0	0	0	0	0	0	11344	4175	0	14178	0	0	0	5386	0	0	0	0	8679	30038	0	45009	28219	21073	7635	16417	28540	0	6305	362	0	0	2743	0	2060	0	0	2478	0	0	0
"SB071116TAWCSCB62D9BR1TR1I161"	20884	0	59183	47809	0	19135	1718	70394	16978	51210	0	0	18673	0	0	0	0	24026	38341	2496	12140	0	0	0	0	0	0	5953	0	19593	0	0	0	0	2467	0	0	0	0	6041	0	17920	12398	0	0	0	0	1135	6087	0	0	6945	0	4396	12719	0	0	14590	0	3670	1467	10224	12346	5414	874	6970	0	0	0	3300	0	12364	0	0	0	0	15219	3362	0	0	0	2667	0	0	0	0	0	0	0	0	0	0	2955	0	5096	0	0	0	5688	0	0	0	0	0	0	0	0	25958	0	14167	37716	37333	6142	0	13313	523	0	601	0	0	852	37	9037	0	0	0	0	0
"SB071116TAWCSCB71D20BR2TR1I168"	6400	0	25687	0	43783	0	0	43135	0	0	0	12570	0	12083	6392	0	0	31469	10206	0	0	14332	29283	0	0	6016	0	23786	0	0	0	26427	0	11625	0	6933	3683	0	0	0	0	49430	21593	1007	2960	0	7268	0	6282	4019	11413	1290	0	0	7606	0	17755	773	0	2673	3796	7824	3410	0	2563	0	1509	0	0	0	0	0	0	11577	0	1178	3975	0	0	0	0	10910	1344	0	0	0	0	0	0	0	0	0	0	0	0	0	7986	1718	0	0	3471	0	0	0	0	0	87931	59722	55450	0	22599	20565	0	12558	10040	0	0	0	0	0	0	0	4057	0	4144	0	0	0
"SB071116TAWCSCB71D20BR1TR1I167"	30874	0	8855	65788	24086	4318	4182	40004	0	0	24809	0	0	3508	3718	0	0	9335	17971	822	64642	0	0	9275	7386	5913	0	2545	0	0	3020	7974	454	9496	16825	0	0	0	0	6177	0	83	3027	0	4179	0	8024	0	0	0	0	0	1505	0	0	3282	1404	0	5524	0	0	0	0	13591	6908	0	9628	0	35	0	1439	0	1101	0	0	0	0	0	1900	0	0	0	4323	2391	0	0	838	0	36	0	0	0	389	0	0	0	3282	0	0	1861	0	2889	0	0	0	0	14212	36666	7325	88899	54476	36379	18098	56811	0	4395	0	2374	0	0	2023	0	9345	3934	0	0	0	0
"SB071116TAWCSCB54D25BR2TR1I158"	42596	0	15160	0	20186	386	5980	52852	9051	26140	27992	23308	10158	15984	0	0	0	0	0	0	20296	34360	3909	2376	2822	0	11429	5141	0	0	2759	9613	0	0	36535	2326	0	4248	0	0	0	0	2830	7153	0	0	0	0	4743	0	0	6435	0	0	4760	4657	0	0	0	0	6027	4395	2645	0	0	2951	88	18254	0	600	0	27055	0	15733	0	0	0	0	0	257	0	0	3842	0	12314	24785	893	0	0	0	0	722	0	0	0	451	0	0	2996	0	0	0	0	3321	1090	9993	8157	19786	36658	32026	81943	65983	0	9284	6872	0	0	0	0	0	0	0	0	0	0	0	0	2722
"SB071116TAWCSCB54D25BR1TR1I157"	24969	2188	14463	13332	29125	26259	0	62865	0	0	21847	27521	0	5288	0	3822	2439	5743	5158	4297	17979	1783	0	0	0	0	6444	31310	0	0	7097	6501	0	0	34179	10369	7454	0	0	0	5754	16903	4397	0	4753	0	10939	0	0	0	2022	0	0	0	0	0	6355	6262	2913	5494	0	0	0	0	0	0	1661	6725	0	3793	0	271	0	13846	0	1054	0	0	0	0	0	18327	0	0	0	25547	0	0	0	0	0	637	0	31177	0	0	0	0	4934	0	5951	6562	641	0	0	3590	68124	0	0	42862	38127	9367	3102	0	17994	0	3349	0	3186	0	0	23096	1154	0	0	4155	178	2270
"SB071116TAWCSCB53D25BR2TR1I156"	0	0	3211	0	22751	1601	0	23175	0	68666	25695	5355	0	0	0	0	0	0	0	3517	38358	4517	37376	1975	1100	573	0	4352	0	4954	0	0	0	0	27464	8436	0	0	0	0	26574	17965	6801	0	732	0	2053	4505	13501	17393	15174	3152	5970	0	1101	14765	0	3239	4257	222	7951	0	0	0	5760	0	0	0	0	0	0	40264	0	0	7074	766	0	0	0	0	0	97323	4098	2266	791	0	0	920	0	0	1215	0	0	0	4224	0	0	0	0	3381	0	39	0	0	0	0	25880	0	11082	19011	72014	16693	0	22283	16058	0	0	4171	0	0	0	6439	0	0	0	0	0	0
"SB071116TAWCSCB63D10BR1TR1I163"	0	1269	14635	21167	24417	5382	0	0	0	665	0	0	0	17225	0	0	0	0	0	0	35873	7478	660	0	6703	0	3887	27002	0	6572	0	0	0	18366	0	0	0	0	0	0	0	67087	5304	0	0	0	0	6268	15539	653	0	0	0	0	0	3444	0	0	0	0	0	0	0	0	2670	0	0	2547	0	1130	0	15693	2818	1818	0	8093	0	0	0	0	0	77725	8695	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	5188	0	91	0	1279	10138	45752	46147	42742	70975	34459	9278	5072	44881	0	0	0	360	0	6032	0	0	0	7845	0	0	910	0
"SB071116TAWCSCB52D29BR1TR1I154"	39339	1716	17132	13000	42427	0	0	41025	253	0	17534	0	27221	27555	1527	0	0	0	0	0	13186	0	5611	0	0	0	0	2519	0	0	1384	0	0	10896	2417	0	0	0	0	2280	3419	49124	0	9949	0	0	0	0	0	0	0	2751	0	0	0	0	4886	0	9048	0	1444	1701	10131	0	0	5123	8837	0	0	0	6870	7743	0	1149	0	0	0	0	0	0	0	12761	0	0	0	18034	531	0	0	0	0	0	0	0	0	0	0	0	0	0	1399	0	890	0	0	0	0	107038	55717	31856	125770	19952	3318	18470	0	0	1767	6049	0	0	0	0	4724	0	0	0	0	0
"SB071116TAWCSCB53D25BR2TR2I615"	51222	0	0	0	50830	23173	0	26181	2295	67907	0	0	990	0	0	0	0	0	5325	23616	21090	14375	7951	0	0	0	14152	0	1439	3927	0	28418	0	4165	0	0	0	0	0	0	37433	0	0	0	24726	16492	0	4131	0	0	5119	0	0	0	0	0	0	1211	0	0	11828	0	21587	0	0	0	0	0	0	0	0	17414	0	0	0	0	0	0	433	0	0	0	0	0	0	900	0	0	0	0	0	0	0	7495	6795	1584	1525	0	0	0	0	1174	0	0	450	0	39890	100042	106295	6607	7672	0	0	21442	0	0	0	0	0	5274	0	0	916	0	0	0	0	0
"SB071116TAWCSCB22D11BR1TR1I144"	69602	0	10454	0	23393	0	2614	61089	7220	3433	40760	0	1731	0	6910	14817	0	0	0	23939	9062	0	27892	0	0	0	0	80	0	90	0	34910	0	0	19126	0	820	0	0	0	0	47552	1567	0	12580	0	0	1156	0	0	0	0	1495	0	0	1568	0	0	4580	5400	0	534	8402	989	0	0	4950	0	1550	3516	0	16605	0	0	0	284	14150	0	3411	1044	0	30422	14975	1168	95	0	0	44	0	0	0	0	1170	0	0	0	4768	0	1481	0	1729	0	0	0	0	6720	2685	130197	5700	42530	42851	0	21103	0	1347	0	721	4557	0	0	0	6211	0	929	681	0	0	1036
"SB071116TAWCSCB33CD24BR1TR2I611"	27419	604	19009	17725	4544	17658	0	22101	10752	10535	600	19455	0	2979	0	0	0	2420	0	0	0	0	3518	1325	11065	0	0	21646	7367	14794	0	34923	0	0	31415	0	0	0	1344	0	0	10468	0	0	11478	13018	0	8748	0	0	0	4078	0	0	1385	12051	0	0	0	0	27136	1134	5406	0	0	0	10914	1199	0	0	0	31812	2205	0	0	3205	3514	0	0	0	5075	9380	0	0	0	0	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3596	0	0	0	9661	55974	73003	39170	0	45020	48008	5252	29738	0	0	0	0	0	20316	0	0	1002	302	595	83	0	4075
"SB071116TAWCSCB33CD24BR1TR1I148"	36885	575	0	12823	37555	0	0	63172	8857	25375	28183	18677	0	7196	0	2619	634	20005	0	0	9966	17922	1414	0	1000	1177	0	0	0	7062	0	3989	0	14585	3574	0	0	0	755	0	14953	48231	0	1291	8081	5153	0	0	0	4533	5524	0	4069	0	5750	7333	0	3935	0	0	12256	5360	3981	9643	2084	0	0	5065	1530	0	0	26710	5573	3077	0	0	0	0	1080	0	3812	24085	0	2279	0	10327	0	1196	0	183	0	0	0	2942	0	0	10141	0	0	3056	0	1061	0	0	0	6761	34312	44857	0	55609	64041	0	0	33154	0	0	2211	3160	0	0	2315	0	0	0	0	0	0	0
"SB071116TAWCSCB22D11BR2TR1I145"	17761	2507	0	11956	18859	208	18580	1578	3507	12988	18009	9155	0	0	0	0	0	32473	53267	0	0	14442	5868	2241	1681	10550	5320	58192	1182	29373	0	4003	95	659	0	0	6670	0	847	0	2929	43077	0	0	0	0	3491	0	0	1293	3578	4673	7234	0	5677	5516	0	0	0	0	10992	1288	0	3429	0	0	3795	0	0	0	0	20219	3918	11228	0	5243	0	0	0	2054	0	1608	0	3224	5779	0	0	0	0	1329	1586	0	0	5939	0	2588	0	4201	0	0	1862	0	0	1890	1502	9770	11853	0	52600	15345	125260	23699	0	15665	0	694	0	0	0	21713	2253	419	7484	0	0	2250	0	0
"SB071116TAWCSCB44D30BR1TR1I152"	61356	0	59618	0	25987	0	0	8623	3710	44587	0	7037	0	17483	0	0	0	2226	3461	0	12041	27955	9577	209	0	1429	0	0	0	0	0	2846	0	0	8394	0	5297	0	0	0	119	64298	18618	0	13056	0	10769	0	0	2006	879	0	0	0	0	5080	0	0	0	0	0	0	0	2924	616	0	0	0	8475	0	0	52936	0	0	0	0	0	0	2005	0	1379	13043	0	0	3619	10162	0	0	0	0	3044	0	0	10393	4394	0	0	1097	0	0	0	0	0	1010	0	18335	88741	14159	12781	537	68118	35177	0	12346	6634	0	2507	0	2600	0	0	0	12071	0	0	0	0	0
"SB071116TAWCSCB51D33BR1TR1I153"	37260	0	19936	0	0	13009	251	78630	0	14486	0	0	0	2262	238	1119	141	0	0	0	9915	19765	2738	0	14049	371	0	0	0	9055	7113	3082	0	0	4002	0	0	0	0	0	13536	31082	0	2508	3686	0	694	2737	0	0	0	0	0	1941	0	27006	0	0	18416	0	0	0	7856	14939	4407	7866	0	5161	0	174	0	10167	1629	16307	0	2704	7388	1812	0	0	8734	0	0	373	0	7012	0	0	0	0	0	0	576	2007	10604	813	0	0	0	0	0	0	86	0	0	0	52375	25862	96394	60947	76258	1027	8780	36634	824	0	0	0	0	0	0	0	0	0	0	0	0	0
"SB071116TAWCSCB52D29BR1TR2I619"	6312	0	22568	18491	44916	719	0	19301	2846	12007	7188	11475	8144	0	2343	0	0	0	15403	11802	8360	1867	32118	0	2261	9200	0	0	0	0	7375	0	0	0	31872	10736	2203	0	0	2765	0	72091	0	0	0	0	19598	0	0	0	0	1066	0	1172	7175	0	0	2652	9588	0	0	0	0	0	10103	8922	0	0	0	0	5525	69152	9398	1077	0	0	0	0	1868	2973	6372	16356	0	0	286	469	205	4434	0	0	3017	0	0	0	3800	0	0	0	4907	0	9464	0	0	0	11029	5978	103865	0	42644	10790	0	3386	5944	40826	0	3679	0	0	737	0	545	0	0	0	0	0	2121	0
"SB071116TAWCSCB43CD26BR1TR1I151"	92776	9474	4157	23798	81887	14784	6972	85648	0	52876	0	0	0	15952	0	7712	130	10346	21523	0	0	0	6473	2003	0	4138	0	787	0	8762	0	0	0	2967	14905	0	0	0	0	0	523	0	0	5477	6777	9707	0	0	1077	0	3163	140	0	2524	0	7086	0	0	18366	0	0	0	4191	0	0	0	0	13616	12649	0	985	0	0	0	0	0	3555	0	0	2182	0	12960	2682	0	15568	0	0	0	0	0	0	0	0	0	0	0	20905	6469	3000	0	13774	4463	59	0	0	0	51885	0	35231	27877	5776	20318	0	18046	0	0	0	2977	0	0	672	0	0	7746	0	0	0	241
"SB071316TAWCSCB22D11BR2TR2I613"	22148	0	0	0	20028	593	433	4372	15252	34830	0	0	4158	6353	10444	0	0	0	6921	3467	0	0	0	0	0	4541	1970	0	0	19986	1150	15059	43	0	30494	0	1916	0	842	0	37204	19111	7729	5343	552	0	0	6326	0	0	0	0	0	2413	0	11727	1893	0	0	0	0	1187	0	0	2730	0	5566	0	15911	0	4381	34850	0	0	0	0	0	0	850	0	5941	2199	0	0	1509	25976	0	0	0	0	0	0	0	6183	0	0	0	0	0	0	0	0	844	0	0	1446	60359	12221	38259	137185	102292	42020	1296	0	0	0	0	380	0	0	0	6720	0	753	723	0	0	0
"SB081216TAWCSCB51D33BR1TR1I186"	34507	0	75291	0	15235	0	17828	0	9591	44740	0	32469	0	30	2832	0	0	0	0	26589	0	14325	4178	0	0	0	11118	0	0	0	173	0	0	0	40043	0	3677	1208	0	0	14882	0	228	6865	10065	6634	4027	23940	0	976	5183	0	0	0	0	0	11202	0	3229	1870	0	0	2757	2069	0	2673	0	538	0	0	2203	4861	0	11428	3769	0	0	0	0	1127	0	14387	0	0	14479	0	529	1581	4294	330	5769	0	0	0	2525	0	6477	0	0	0	6374	0	0	1098	1044	4512	67444	6547	96513	59646	12299	40694	0	71831	0	1034	0	0	1529	1428	0	0	0	2126	0	0	0	165
"SB081216TAWCSCB54D25BR2TR1I191"	25468	784	25697	19807	99724	6235	9540	14459	3257	68615	33955	3214	14878	0	9380	2585	0	0	10952	19909	0	0	0	0	6710	0	0	7506	0	51	0	0	0	0	0	0	3345	0	0	0	8579	53017	14003	0	6672	9569	0	7218	634	6529	0	5207	4394	0	4017	4634	0	0	2318	160	0	0	11412	0	0	0	1721	0	9010	0	0	0	0	0	3391	0	4787	0	5953	321	8988	6312	0	0	0	0	185	0	0	0	0	0	0	15303	0	0	0	2993	876	1823	0	0	0	0	0	0	26343	99065	40279	0	25761	1371	816	8232	0	0	0	0	0	0	0	12163	5245	0	395	0	0	0
"SB081216TAWCSCB53D25BR2TR2I189"	9163	0	14405	28322	0	6368	0	0	0	47642	0	25923	0	7556	4681	11056	0	16694	15695	696	0	0	0	0	24005	649	2489	5092	0	18122	0	0	0	20879	0	0	0	0	0	7509	0	7458	0	0	5406	0	0	0	0	0	2974	0	2496	0	0	0	1541	1240	4999	0	12479	0	0	0	0	0	7024	0	12761	0	0	44281	0	0	0	0	0	0	0	0	2515	21335	0	238	0	12103	0	1316	571	0	0	1856	0	0	5098	0	6313	1299	0	0	6361	0	0	0	3749	0	38566	139236	47752	34323	72844	0	9147	20674	0	5901	0	0	0	8075	0	0	0	0	0	0	0	1194
"SB081216TAWCSCB53D25BR2TR1I189"	46117	0	38914	12503	28350	32268	7119	20006	0	36053	0	11989	0	0	0	0	0	5784	23423	0	0	1577	7440	2170	3743	8371	0	0	0	0	0	22381	0	0	5994	0	0	1085	582	0	0	41477	0	0	5563	0	415	0	0	3312	2772	0	0	4122	0	17340	0	0	0	387	2228	1223	11798	18802	0	0	0	5364	0	0	0	35733	0	0	0	6830	5662	0	3349	0	3119	5898	1788	1547	0	5965	0	352	23	0	0	0	0	3295	0	0	0	0	0	0	7444	0	0	1679	1376	0	95180	41440	58048	6992	0	22230	0	25037	8852	2528	5562	18499	240	0	0	6247	2198	8249	0	0	0	0
"SB081216TAWCSCB54D25BR1TR1I190"	1840	0	43709	3749	42767	17309	2171	77094	0	14594	56264	192	1969	6551	0	0	0	0	756	0	0	8262	0	0	0	252	4546	0	0	6548	4932	13323	0	19910	9056	0	0	2034	0	11492	23927	0	7423	0	0	0	0	8421	0	6945	0	4145	1152	0	0	0	0	3164	8175	0	1717	0	16408	0	912	0	5101	0	14425	0	0	21054	789	1705	0	0	7046	0	0	0	0	19431	0	0	6665	0	0	0	0	629	0	0	0	11700	1292	0	0	540	0	0	12821	0	0	1422	0	0	26444	39152	37941	0	40944	51833	0	46181	696	0	0	534	3078	0	0	0	0	5706	0	0	0	1679
"SB081216TAWCSCB61D11BR1TR1I192"	24625	0	25415	0	65601	0	0	65592	26784	55242	15872	1245	0	10612	0	4692	0	14825	14723	3318	33230	29232	13204	0	0	1169	0	10575	10366	19734	0	0	275	2214	19378	0	3699	0	813	0	1603	327	0	0	3237	0	0	10442	0	0	0	0	0	4491	3095	0	0	0	10327	0	384	0	0	0	0	15287	261	9023	8539	0	0	3397	2251	0	0	0	0	0	0	0	0	11610	0	166	0	12135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191	2324	394	0	2179	0	29043	0	92218	0	3791	0	0	44479	2252	0	0	0	0	0	0	3332	1132	0	0	0	3370	0
"SB081216TAWCSCB64D10BR2TR1I199"	74959	0	29812	3657	27387	12459	0	50766	0	30214	0	0	0	421	2398	0	934	0	2058	10346	0	0	0	25	230	0	6488	0	0	11252	8108	225	348	14502	0	0	6792	0	0	3706	0	2243	1038	2731	0	3634	3388	15813	0	0	0	0	0	0	6836	25331	0	0	0	0	432	3319	0	2100	3888	6955	6664	0	0	0	4922	7447	13209	2186	0	2320	9100	677	0	0	0	7248	5337	760	0	14880	0	326	0	706	4660	745	0	0	0	0	0	5595	3148	0	0	891	0	0	5155	0	43836	41785	5248	24374	29465	55660	35209	0	0	13109	0	1180	0	0	0	0	950	1217	1312	776	0	0
